"Competencia";"is_total";"UF";"cnae_subclasse";"Salario_Mensal"
"Mai/2019";FALSE;"33 - Rio de Janeiro";"2452";22434
"Mai/2019";FALSE;"35 - São Paulo";"2451";949924
"Mai/2019";FALSE;"35 - São Paulo";"2452";610079
"Mai/2019";FALSE;"41 - Paraná";"2451";124777
"Mai/2019";FALSE;"41 - Paraná";"2452";295297
"Mai/2019";FALSE;"42 - Santa Catarina";"2451";1170459
"Mai/2019";FALSE;"42 - Santa Catarina";"2452";114236
"Mai/2019";FALSE;"43 - Rio Grande do Sul";"2451";444400
"Mai/2019";FALSE;"43 - Rio Grande do Sul";"2452";59780
"Mai/2019";FALSE;"50 - Mato Grosso do Sul";"2451";0
"Mai/2019";FALSE;"50 - Mato Grosso do Sul";"2452";7910
"Mai/2019";FALSE;"52 - Goiás";"2451";3783
"Mai/2019";FALSE;"52 - Goiás";"2452";11969
"Abr/2019";FALSE;"11 - Rondônia";"2451";2253
"Abr/2019";FALSE;"11 - Rondônia";"2452";3285
"Abr/2019";FALSE;"13 - Amazonas";"2451";0
"Abr/2019";FALSE;"13 - Amazonas";"2452";18621
"Abr/2019";FALSE;"15 - Para";"2451";2339
"Abr/2019";FALSE;"15 - Para";"2452";0
"Abr/2019";FALSE;"23 - Ceará";"2451";13029
"Abr/2019";FALSE;"23 - Ceará";"2452";9060
"Abr/2019";FALSE;"24 - Rio Grande do Norte";"2451";998
"Abr/2019";FALSE;"24 - Rio Grande do Norte";"2452";0
"Abr/2019";FALSE;"25 - Paraíba";"2451";5176
"Abr/2019";FALSE;"25 - Paraíba";"2452";0
"Abr/2019";FALSE;"26 - Pernambuco";"2451";11989
"Abr/2019";FALSE;"26 - Pernambuco";"2452";0
"Abr/2019";FALSE;"27 - Alagoas";"2451";3030
"Abr/2019";FALSE;"27 - Alagoas";"2452";0
"Abr/2019";FALSE;"28 - Sergipe";"2451";0
"Abr/2019";FALSE;"28 - Sergipe";"2452";6618
"Abr/2019";FALSE;"31 - Minas Gerais";"2451";868959
"Abr/2019";FALSE;"31 - Minas Gerais";"2452";307265
"Abr/2019";FALSE;"32 - Espírito Santo";"2451";0
"Abr/2019";FALSE;"32 - Espírito Santo";"2452";1071
"Abr/2019";FALSE;"33 - Rio de Janeiro";"2451";17505
"Abr/2019";FALSE;"33 - Rio de Janeiro";"2452";14664
"Abr/2019";FALSE;"35 - São Paulo";"2451";827085
"Abr/2019";FALSE;"35 - São Paulo";"2452";587184
"Abr/2019";FALSE;"41 - Paraná";"2451";110754
"Abr/2019";FALSE;"41 - Paraná";"2452";326685
"Abr/2019";FALSE;"42 - Santa Catarina";"2451";1558341
"Abr/2019";FALSE;"42 - Santa Catarina";"2452";143128
"Abr/2019";FALSE;"43 - Rio Grande do Sul";"2451";491590
"Abr/2019";FALSE;"43 - Rio Grande do Sul";"2452";59618
"Abr/2019";FALSE;"50 - Mato Grosso do Sul";"2451";998
"Abr/2019";FALSE;"50 - Mato Grosso do Sul";"2452";0
"Abr/2019";FALSE;"51 - Mato Grosso";"2451";2500
"Abr/2019";FALSE;"51 - Mato Grosso";"2452";3450
"Abr/2019";FALSE;"52 - Goiás";"2451";6790
"Abr/2019";FALSE;"52 - Goiás";"2452";14758
"Abr/2019";FALSE;"53 - Distrito Federal";"2451";1184
"Abr/2019";FALSE;"53 - Distrito Federal";"2452";0
"Mar/2019";FALSE;"11 - Rondônia";"2451";4280
"Mar/2019";FALSE;"11 - Rondônia";"2452";2000
"Mar/2019";FALSE;"13 - Amazonas";"2451";0
"Mar/2019";FALSE;"13 - Amazonas";"2452";58558
"Mar/2019";FALSE;"21 - Maranhão";"2451";0
"Mar/2019";FALSE;"21 - Maranhão";"2452";1129
"Mar/2019";FALSE;"23 - Ceará";"2451";0
"Mar/2019";FALSE;"23 - Ceará";"2452";2008
"Mar/2019";FALSE;"26 - Pernambuco";"2451";15761
"Mar/2019";FALSE;"26 - Pernambuco";"2452";0
"Mar/2019";FALSE;"28 - Sergipe";"2451";0
"Mar/2019";FALSE;"28 - Sergipe";"2452";6800
"Mar/2019";FALSE;"29 - Bahia";"2451";23452
"Mar/2019";FALSE;"29 - Bahia";"2452";0
"Mar/2019";FALSE;"31 - Minas Gerais";"2451";858671
"Mar/2019";FALSE;"31 - Minas Gerais";"2452";150512
"Mar/2019";FALSE;"32 - Espírito Santo";"2451";10704
"Mar/2019";FALSE;"32 - Espírito Santo";"2452";0
"Mar/2019";FALSE;"33 - Rio de Janeiro";"2451";6999
"Mar/2019";FALSE;"33 - Rio de Janeiro";"2452";14378
"Mar/2019";FALSE;"35 - São Paulo";"2451";912942
"Mar/2019";FALSE;"35 - São Paulo";"2452";638374
"Mar/2019";FALSE;"41 - Paraná";"2451";207594
"Mar/2019";FALSE;"41 - Paraná";"2452";234768
"Mar/2019";FALSE;"42 - Santa Catarina";"2451";1055681
"Mar/2019";FALSE;"42 - Santa Catarina";"2452";106604
"Mar/2019";FALSE;"43 - Rio Grande do Sul";"2451";474959
"Mar/2019";FALSE;"43 - Rio Grande do Sul";"2452";170954
"Mar/2019";FALSE;"50 - Mato Grosso do Sul";"2451";5574
"Mar/2019";FALSE;"50 - Mato Grosso do Sul";"2452";3075
"Mar/2019";FALSE;"51 - Mato Grosso";"2451";5731
"Mar/2019";FALSE;"51 - Mato Grosso";"2452";1150
"Mar/2019";FALSE;"52 - Goiás";"2451";7647
"Mar/2019";FALSE;"52 - Goiás";"2452";11482
"Fev/2019";FALSE;"11 - Rondônia";"2451";3902
"Fev/2019";FALSE;"11 - Rondônia";"2452";19962
"Fev/2019";FALSE;"13 - Amazonas";"2451";0
"Fev/2019";FALSE;"13 - Amazonas";"2452";42784
"Fev/2019";FALSE;"15 - Para";"2451";998
"Fev/2019";FALSE;"15 - Para";"2452";1341
"Fev/2019";FALSE;"17 - Tocantins";"2451";1141
"Fev/2019";FALSE;"17 - Tocantins";"2452";0
"Fev/2019";FALSE;"21 - Maranhão";"2451";0
"Fev/2019";FALSE;"21 - Maranhão";"2452";1996
"Fev/2019";FALSE;"23 - Ceará";"2451";1000
"Fev/2019";FALSE;"23 - Ceará";"2452";8036
"Fev/2019";FALSE;"25 - Paraíba";"2451";2008
"Fev/2019";FALSE;"25 - Paraíba";"2452";0
"Fev/2019";FALSE;"26 - Pernambuco";"2451";37234
"Fev/2019";FALSE;"26 - Pernambuco";"2452";0
"Fev/2019";FALSE;"27 - Alagoas";"2451";5793
"Fev/2019";FALSE;"27 - Alagoas";"2452";0
"Fev/2019";FALSE;"28 - Sergipe";"2451";0
"Fev/2019";FALSE;"28 - Sergipe";"2452";3719
"Fev/2019";FALSE;"29 - Bahia";"2451";3399
