"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Out/2018";FALSE;"Desligamento por morte";"2451";3
"Out/2018";FALSE;"Desligamento por morte";"2452";2
"Out/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";15
"Out/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";1
"Set/2018";FALSE;"Admissão por primeiro emprego";"2451";188
"Set/2018";FALSE;"Admissão por primeiro emprego";"2452";26
"Set/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";589
"Set/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";310
"Set/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";588
"Set/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";221
"Set/2018";FALSE;"Desligamento por demissão com justa causa";"2451";14
"Set/2018";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Set/2018";FALSE;"Desligamento a pedido";"2451";189
"Set/2018";FALSE;"Desligamento a pedido";"2452";45
"Set/2018";FALSE;"Desligamento por aposentadoria";"2451";1
"Set/2018";FALSE;"Desligamento por aposentadoria";"2452";0
"Set/2018";FALSE;"Desligamento por morte";"2451";4
"Set/2018";FALSE;"Desligamento por morte";"2452";0
"Set/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";23
"Set/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";0
"Ago/2018";FALSE;"Admissão por primeiro emprego";"2451";153
"Ago/2018";FALSE;"Admissão por primeiro emprego";"2452";13
"Ago/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";855
"Ago/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";358
"Ago/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";696
"Ago/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";253
"Ago/2018";FALSE;"Desligamento por demissão com justa causa";"2451";21
"Ago/2018";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Ago/2018";FALSE;"Desligamento a pedido";"2451";194
"Ago/2018";FALSE;"Desligamento a pedido";"2452";57
"Ago/2018";FALSE;"Desligamento por aposentadoria";"2451";1
"Ago/2018";FALSE;"Desligamento por aposentadoria";"2452";0
"Ago/2018";FALSE;"Desligamento por morte";"2451";11
"Ago/2018";FALSE;"Desligamento por morte";"2452";2
"Ago/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";11
"Ago/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";7
"Jul/2018";FALSE;"Admissão por primeiro emprego";"2451";417
"Jul/2018";FALSE;"Admissão por primeiro emprego";"2452";13
"Jul/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";795
"Jul/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";329
"Jul/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";638
"Jul/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";268
"Jul/2018";FALSE;"Desligamento por demissão com justa causa";"2451";23
"Jul/2018";FALSE;"Desligamento por demissão com justa causa";"2452";1
"Jul/2018";FALSE;"Desligamento a pedido";"2451";212
"Jul/2018";FALSE;"Desligamento a pedido";"2452";63
"Jul/2018";FALSE;"Desligamento por morte";"2451";3
"Jul/2018";FALSE;"Desligamento por morte";"2452";1
"Jul/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";10
"Jul/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";6
"Jun/2018";FALSE;"Admissão por primeiro emprego";"2451";240
"Jun/2018";FALSE;"Admissão por primeiro emprego";"2452";14
"Jun/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";682
"Jun/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";226
"Jun/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";595
"Jun/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";241
"Jun/2018";FALSE;"Desligamento por demissão com justa causa";"2451";27
"Jun/2018";FALSE;"Desligamento por demissão com justa causa";"2452";4
"Jun/2018";FALSE;"Desligamento a pedido";"2451";175
"Jun/2018";FALSE;"Desligamento a pedido";"2452";54
"Jun/2018";FALSE;"Desligamento por morte";"2451";10
"Jun/2018";FALSE;"Desligamento por morte";"2452";1
"Jun/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";9
"Jun/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Mai/2018";FALSE;"Admissão por primeiro emprego";"2451";261
"Mai/2018";FALSE;"Admissão por primeiro emprego";"2452";8
"Mai/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";802
